C1,C2,C3,C4,C5
0.181511893,0.181511477,0.139115566,0.122249885,0.375611179
0.191797625,0.191797444,0.15949076,0.120907543,0.336006629
0.188919084,0.188918412,0.123270992,0.12273789,0.376153623
0.188058529,0.188058059,0.137372767,0.126034391,0.360476254
0.193489041,0.193488524,0.136111952,0.132970535,0.343939948
0.192334451,0.19233404,0.14499525,0.134462904,0.335873356
0.179207431,0.179206723,0.113282284,0.110107866,0.418195695
0.176673122,0.176672569,0.122509648,0.112733294,0.411411366
0.247423954,0.247423527,0.12823343,0.140840427,0.236078661
0.189181479,0.189180445,0.096315646,0.10680581,0.41851662
0.179386354,0.179385896,0.124887667,0.1085574,0.407782683
0.169063529,0.169062909,0.108676488,0.100816965,0.452380109
0.135811676,0.13581087,0.068331728,0.073032183,0.587013543
0.178906461,0.178905948,0.125753905,0.113647929,0.402785758
0.197622568,0.197621603,0.113896745,0.134923044,0.355936041
0.130039644,0.130039023,0.071070161,0.065667306,0.603183866
0.151586521,0.151585848,0.084776473,0.082660547,0.52939061
0.195398758,0.195398307,0.133024149,0.116485602,0.359693184
0.179162161,0.179161263,0.099983347,0.100535304,0.441157924
0.189687725,0.189687488,0.155592555,0.122125269,0.342906963
0.237150006,0.237149527,0.13238336,0.159071413,0.234245694
0.175948551,0.175948022,0.114443134,0.106195745,0.427464548
0.194728616,0.194728258,0.145699667,0.119256672,0.345586786
0.195405407,0.195404818,0.133485925,0.123618764,0.352085087
0.215253516,0.215253212,0.159224216,0.150936492,0.259332565
0.208439148,0.208439012,0.17029896,0.143104721,0.269718159
0.216134466,0.216133764,0.140148393,0.200379797,0.22720358
0.216802518,0.216801813,0.14010039,0.200437942,0.225857337
0.218244455,0.218243686,0.136357613,0.208375587,0.21877866
0.210291726,0.210291595,0.158044719,0.124515596,0.296856364
0.18671257,0.18671208,0.123471706,0.101287474,0.40181617
0.223375146,0.223374295,0.131474451,0.227604126,0.194171982
0.199942843,0.19994262,0.163750245,0.130541204,0.305823088
0.206824959,0.206824619,0.138482929,0.117921133,0.32994636
0.184360348,0.184359503,0.089511978,0.449054086,0.092714085
0.216547856,0.216546853,0.112580026,0.313148781,0.141176483
0.186359326,0.186358926,0.140426661,0.117107709,0.369747378
0.206334756,0.206334647,0.163026753,0.11996917,0.304334673
0.210703754,0.210703243,0.125574128,0.116178438,0.336840437
0.205144986,0.205144682,0.137462802,0.113830207,0.338417322
0.214935436,0.214934602,0.133728682,0.205113727,0.231287552
